record_id,name_code,web_site,genus,subgenus,species,infraspecies_parent_name_code,infraspecies,infraspecies_marker,author,accepted_name_code,comment,scrutiny_date,sp2000_status_id,database_id,specialist_id,family_id,specialist_code,family_code,is_accepted_name,gsdtaxonguid,gsdnameguid,is_extinct,has_preholocene,has_modern,reference_year,ref_source,as_authors,as_edition,as_journal,as_note,as_pages,as_volume,as_year
9441,c65df396-9d1a-44e6-9fb7-6bdd79aff821,\N,Lophodermium,\N,filiforme,\N,\N,\N,"Darker, 1932",787d2679-0099-4328-a1c7-dab228d2e828,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1932,In: Contr. Arnold Arbor. 1:85.,G.D. Darker,\N,Contr. Arnold Arbor.,\N,85,1,1932
9442,cb3df740-2d80-4564-ba0b-2c3dc3358a62,\N,Hypodermopsis,\N,macrospora,\N,\N,\N,"(R. Hartig) Kuntze, 1898",787d2679-0099-4328-a1c7-dab228d2e828,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1898,In: Revis. gen. pl. (Leipzig) 3(2):487.,C.E.O. Kuntze,\N,Revis. gen. pl. (Leipzig),\N,487,3(2),1898
9443,2206718c-2a0b-455a-b06a-1d87eb5607d2,\N,Hypodermella,\N,macrospora,\N,\N,\N,"(R. Hartig) Lagerb., 1910",787d2679-0099-4328-a1c7-dab228d2e828,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1910,In: Meddn St. SkogsförsAnst. 7:113.,K.E.T. Lagerberg,\N,Meddn St. SkogsförsAnst.,\N,113,7,1910
9444,c4aa455e-9341-4fa8-8b90-054869ec71ee,\N,Hypoderma,\N,macrospora,\N,\N,\N,"R. Hartig, 1874",787d2679-0099-4328-a1c7-dab228d2e828,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1874,In: Krankh. Waldb.:100.,H.J.A.R. Hartig,\N,Krankh. Waldb.:,\N,100,\N,1874
9445,8a65028b-24ba-4796-a9d9-2dafd6576f07,\N,Lirula,\N,filiformis,\N,\N,\N,"(Darker) Y. R. Lin & S. J. Wang, 2004",787d2679-0099-4328-a1c7-dab228d2e828,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,2004,In: Mycosystema 23(2):171.,"Y.R. Lin, S.J. Wang, C.L. Hou",\N,\N,\N,171,23(2),2004
9446,75b4cd1a-a89b-4df5-8f80-3930e581a296,\N,Hypodermella,\N,mirabilis,\N,\N,\N,"Darker, 1932",6363ed98-9b41-45c4-aa8d-de8cb1d90c9f,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1932,In: Contr. Arnold Arbor. 1:46.,G.D. Darker,\N,Contr. Arnold Arbor.,\N,46,1,1932
9447,72bb7d9d-ecd0-4d25-83c8-0bcc12a46024,\N,Hypodermella,\N,nervata,\N,\N,\N,"Darker, 1932",9b4b7a5c-1b41-4b86-bc1c-4f4451e13e91,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1932,In: Contr. Arnold Arbor. 1:51.,G.D. Darker,\N,Contr. Arnold Arbor.,\N,51,1,1932
9448,8b6778ed-22f9-4f4c-b150-01fd41b1ac28,\N,Hypodermella,\N,punctata,\N,\N,\N,"Darker, 1932",1ad3492e-fb7f-481d-9913-c73c30490079,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1932,In: Contr. Arnold Arbor. 1:48.,G.D. Darker,\N,Contr. Arnold Arbor.,\N,48,1,1932
9449,c67ec006-01cb-4598-9826-1b8678b06c4a,\N,Bifusella,\N,faullii,\N,\N,\N,"Darker, 1932",061c4b00-478e-44b6-a87c-9ca0cd08c380,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1932,In: Contr. Arnold Arbor. 1:19.,G.D. Darker,\N,Contr. Arnold Arbor.,\N,19,1,1932
9450,bef9188d-c0bc-43e3-83f4-087e8a062f3a,\N,Bifusella,\N,crepidiformis,\N,\N,\N,"Darker, 1932",d1849866-3ef4-4eb8-becb-0042e3bced16,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1932,In: Contr. Arnold Arbor. 1:22.,G.D. Darker,\N,Contr. Arnold Arbor.,\N,22,1,1932
