name_code,name,rank,estimate,source,inserted,updated
97f836c6-df2d-4f9f-8202-406ead8c582a,Saccopharyngiformes,ORDER,28,\N,2015-10-22 18:29:00,\N
3d9f846c-72f0-4776-9ef8-12a14c4d6b4b,Clupeiformes,ORDER,364,\N,2015-10-22 18:29:21,\N
b45ca542-cc27-41f5-8ebe-0e179839dca3,Gonorynchiformes,ORDER,37,\N,2015-10-22 18:29:45,\N
bf70c7fd-b3c4-44fd-8f7d-800e1a134443,Cypriniformes,ORDER,3268,\N,2015-10-22 18:30:09,\N
4f9be9b2-0792-4937-bd12-1fe2bc98baa8,Characiformes,ORDER,1674,\N,2015-10-22 18:30:29,\N
c9b6f516-6f9f-40a1-8439-928c98eed542,Siluriformes,ORDER,2867,\N,2015-10-22 18:30:53,\N
4aca9ee7-1205-4d0c-85d2-eb7be956945a,Gymnotiformes,ORDER,134,\N,2015-10-22 18:31:13,\N
cf6ca5d0-75a8-4de1-ad8f-6252da642fd0,Osmeriformes,ORDER,88,\N,2015-10-22 18:32:11,\N
3d001020-b6f2-42b1-bda9-28fd4383e6e8,Salmoniformes,ORDER,66,\N,2015-10-22 18:32:30,\N
ddbcf1d5-9884-43fa-b524-fcba6179ce5b,Esociformes,ORDER,10,\N,2015-10-22 18:32:51,\N
73241c08-360e-46e6-b009-2f9f105cbb80,Stomiiformes,ORDER,391,\N,2015-10-22 18:33:14,\N
698b3cff-d488-43f4-a6d8-a309c8a16483,Ateleopodiformes,ORDER,12,\N,2015-10-22 18:33:30,\N
00ac2216-54cf-466a-8143-ba168d4e0ad8,Aulopiformes,ORDER,236,\N,2015-10-22 18:33:49,\N
d4258738-127e-44d0-8c6c-357f1437b69c,Myctophiformes,ORDER,246,\N,2015-10-22 18:34:15,\N
16754696-bd15-4aba-88f0-d4f29570bc16,Lampriformes,ORDER,21,\N,2015-10-22 18:34:35,\N
3e782ff8-02c0-472c-89d6-e9a75776889b,Polymixiiformes,ORDER,10,\N,2015-10-22 18:34:55,\N
fb8dd959-537f-4433-a1bc-e5219f207f68,Percopsiformes,ORDER,9,\N,2015-10-22 18:35:13,\N
ba71acf9-fbc6-4826-97b1-87d8bde83126,Gadiformes,ORDER,555,\N,2015-10-22 18:35:38,\N
a695ba23-022c-4dde-a5fb-a9be947f7578,Ophidiiformes,ORDER,385,\N,2015-10-22 18:35:59,\N
fb8ecf61-cdb1-4dd8-a8c5-3b91d4e6c69e,Batrachoidiformes,ORDER,78,\N,2015-10-22 18:36:15,\N
8c58867e-4a46-4495-b540-87be7a6797e0,Lophiiformes,ORDER,313,\N,2015-10-22 18:36:32,\N
863baf08-b1fa-4755-9aff-ec8479d44905,Mugiliformes,ORDER,72,\N,2015-10-22 18:36:49,\N
dddf897a-cc20-4448-8d11-275a2ef3bc8d,Atheriniformes,ORDER,312,\N,2015-10-22 18:37:31,\N
283debed-6686-424f-9d8b-6b0fed0791f0,Beloniformes,ORDER,227,\N,2015-10-22 18:37:50,\N
a653aae6-08bd-4827-bdc6-fc20a14bcc98,Cyprinodontiformes,ORDER,1013,\N,2015-10-22 18:38:08,\N
e6a2416d-39d9-49f9-9b8e-02335b3a1587,Stephanoberyciformes,ORDER,75,\N,2015-10-22 18:38:34,\N
61e12167-ddbb-492b-80e7-2d92100ed418,Beryciformes,ORDER,144,\N,2015-10-22 18:38:51,\N
64e710fd-3487-405c-a662-6909184da0a5,Zeiformes,ORDER,32,\N,2015-10-22 18:39:10,\N
597da506-28d2-4190-a670-acc8f04ea818,Gasterosteiformes,ORDER,278,\N,2015-10-22 18:39:35,\N
a354ffe2-74cd-4bf0-937a-e55f307ed177,Synbranchiformes,ORDER,99,\N,2015-10-22 18:40:02,\N
c9d9afc9-a884-4c2f-b16f-b34a0e76e705,Scorpaeniformes,ORDER,1477,\N,2015-10-22 18:40:27,\N
b1d1a0d7-1867-4dac-9946-33c3565a2d03,Perciformes,ORDER,10033,\N,2015-10-22 18:40:54,\N
6e619392-d498-417a-96fa-9c0a0a1a4c42,Pleuronectiformes,ORDER,678,\N,2015-10-22 18:41:13,\N
94c2f40a-1a1b-4ab5-adc8-8433ac21f424,Tetraodontiformes,ORDER,357,\N,2015-10-22 18:41:34,\N
ac6150a1-b4a4-4823-8897-0dddcf09db4c,Coelacanthiformes,ORDER,2,\N,2015-10-22 18:42:39,\N
0dd38b2c-04be-4716-9bf2-fa914af6422c,Ceratodontiformes,ORDER,6,\N,2015-10-22 18:43:28,\N
477bc03f-2170-42f6-a0a2-04da5923e51c,Elasmobranchii,CLASS,935,\N,2015-10-22 18:52:30,\N
bbf025d8-d495-4852-b6c7-3f613771ada3,Droseraceae,FAMILY,179,\N,2015-10-22 21:13:14,\N
f21e1de4-4b01-4c32-85af-191737a82fc1,Aldrovanda,GENUS,1,\N,2015-10-22 21:13:26,\N
1cfe95ea-9995-4db4-be40-28667a1efc25,Dionaea,GENUS,1,\N,2015-10-22 21:13:36,\N
5ef33e6f-8f1a-4974-be57-aaa08ac833ab,Drosera,GENUS,177,\N,2015-10-22 21:13:51,\N
f55812e8-5422-402e-b071-b67a9cdf481f,Viruses,KINGDOM,2876,\N,2015-10-22 21:24:25,\N
