record_id,name_code,web_site,genus,subgenus,species,infraspecies_parent_name_code,infraspecies,infraspecies_marker,author,accepted_name_code,comment,scrutiny_date,sp2000_status_id,database_id,specialist_id,family_id,specialist_code,family_code,is_accepted_name,gsdtaxonguid,gsdnameguid,is_extinct,has_preholocene,has_modern,reference_year
2318,e16b6711-d1a9-44b7-a8e7-17876220d0f7,\N,Geranium,\N,pusillum,\N,villosum,subsp.,(F. Saut.) Graebn. in Asch. & Graebn.,83c3a972-07ca-475e-9162-e46b30d3478e,\N,\N,5,48,\N,\N,\N,\N,0,\N,\N,0,0,0,1913
6042,5f6a1f74-4261-4a9e-a2d0-fc12db46ca1a,\N,Scutigera,\N,muscivora,\N,\N,\N,"Verhoeff, 1905",c01fc67d-16d3-4186-96f6-2e4146a9d4b0,\N,\N,5,42,\N,\N,\N,\N,0,\N,\N,0,0,0,1905
7492,54eee7e7-76e7-4a38-81c3-5b6e156f1778,http://chilobase.bio.unipd.it/sp2000.php?sp2179,Gosibius,Gosibius,monicus,\N,\N,\N,"Chamberlin, 1912",54eee7e7-76e7-4a38-81c3-5b6e156f1778,\N,2006-02-27,1,42,2,2912,\N,4717e5b8-d956-4167-91b0-3ea1b23af5f2,1,\N,\N,0,0,0,1912
5618,d107cb04-0ef4-475a-9866-35482d904f92,http://chilobase.bio.unipd.it/sp2000.php?sp927,Henicops,\N,maculatus,\N,\N,\N,"Newport, 1845",d107cb04-0ef4-475a-9866-35482d904f92,\N,2006-02-27,1,42,1,2913,\N,86549e5f-dbc5-460d-9edc-37ea25412837,1,\N,\N,0,0,0,1845
4398,1a970a96-4165-42b4-a3f9-9caf601dde94,http://chilobase.bio.unipd.it/sp2000.php?sp3858,Orya,\N,panousei,\N,\N,\N,"Demange, 1961",1a970a96-4165-42b4-a3f9-9caf601dde94,\N,2006-04-12,1,42,11,2899,\N,6e177de4-47b6-4747-8cc3-3c5dd023d37d,1,\N,\N,0,0,0,1961
10149,149b9988-0ad5-4aef-b238-a564b84c90e9,\N,Lophodermium,\N,lineare,\N,\N,\N,"(Peck) Ellis & Everh., 1892",de478f8d-d3b4-4b8f-9692-375480a6d1b1,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1892
8874,e2eb763e-1a24-46e8-a4b0-ef9e36dfdee5,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Lophodermella%20concolor,Lophodermella,\N,concolor,\N,\N,\N,"(Dearn.) Darker, 1967",e2eb763e-1a24-46e8-a4b0-ef9e36dfdee5,\N,2017-10-27,1,25,12,8495,\N,1f4cce8f-ac9b-4d21-b03d-14597f2f4d4c,1,\N,\N,0,0,0,1967
7341,cfc236ea-4fb2-45fa-a951-53b62eedb747,http://chilobase.bio.unipd.it/sp2000.php?sp2009,Lithobius,Lithobius,kastamonuensis,\N,\N,\N,"Matic, 1983",cfc236ea-4fb2-45fa-a951-53b62eedb747,\N,2006-02-27,1,42,2,2912,\N,4717e5b8-d956-4167-91b0-3ea1b23af5f2,1,\N,\N,0,0,0,1983
6526,7f99be02-31ee-43ab-8ace-6c4142950fcc,http://chilobase.bio.unipd.it/sp2000.php?sp345,Otostigmus,Otostigmus,greggi,\N,\N,\N,"Chamberlin, 1944",7f99be02-31ee-43ab-8ace-6c4142950fcc,\N,2006-02-27,1,42,4,2910,\N,5bb2b5cf-7a38-4dbe-bd22-7d0bcd6ded05,1,\N,\N,0,0,0,1944
4870,3228431d-79c8-4eae-95c9-0c961d65faef,http://chilobase.bio.unipd.it/sp2000.php?sp1320,Arthrorhabdus,\N,jonesii,\N,\N,\N,"Verhoeff, 1938",3228431d-79c8-4eae-95c9-0c961d65faef,Originally placed in the subgenus Trachycormocephalus,2006-03-09,1,42,4,2910,\N,5bb2b5cf-7a38-4dbe-bd22-7d0bcd6ded05,1,\N,\N,0,0,0,1938
6646,1236e3c4-56fc-4322-9545-e879122775dd,\N,Cormocephalus,\N,pseudonudipes,\N,\N,\N,"Jangi & Dass, 1984",b259f06f-846d-47fd-92c3-92b5fca8e4cf,\N,\N,5,42,\N,\N,\N,\N,0,\N,\N,0,0,0,1984
4842,b8694a04-30dc-424c-bf85-76cc2b23ccbf,http://chilobase.bio.unipd.it/sp2000.php?sp506,Scolopendra,\N,inaequidens,\N,\N,\N,"Gervais, 1847",b8694a04-30dc-424c-bf85-76cc2b23ccbf,The generic assignement is temptative as the identity and validity of this nominal species need thorough assessment.,2006-02-27,1,42,4,2910,\N,5bb2b5cf-7a38-4dbe-bd22-7d0bcd6ded05,1,\N,\N,0,0,0,1847
10142,763135b2-e550-48a1-92c4-93571deaa21b,\N,Hypoderma,\N,strobicola,\N,\N,\N,"Tubeuf, 1897",caa99ce7-fbc3-4096-89b4-9b4f7651881c,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1897
