record_id,author,year,title,source,database_id,reference_code
3347,A.V. Tobias,1986,Novye vidy fatsidialnykh gribov [Species novae fungorum phacidialium],In: Nov. sist. Niz. Rast. 23:161.,25,d9f8d9fe-d6ed-4634-9684-dfd04f44d766
3348,"He, B.-z.; Yang, D.-q.; Qi, X.-w.",1986,[Lophodermium on Korean pine].,In: Acta Mycol. Sin. 5(2):72.,25,82e2146f-b7cd-42e1-8de2-3402f79174a2
3349,"He, B.-z.; Yang, D.-q.; Qi, X.-w.",1986,[Lophodermium on Korean pine].,In: Acta Mycol. Sin. 5(2):71.,25,23e320c8-533a-44a9-9412-b10104cd7488
3350,J. Dearness,1926,\N,In: Mycologia 18(5):242.,25,0880b2a4-48f9-49d7-bf23-0e69ce14b7c7
3351,"Lin, Y.-r.; Tang, Y.-p.",1988,[Seven species of Lophodermium on pines],In: Acta Mycol. Sin. 7(3):130.,25,28fb52a0-582b-48a7-9fff-fc157ef8d7f8
3352,"Lin, Y.-r.; Tang, Y.-p.",1988,[Seven species of Lophodermium on pines],In: Acta Mycol. Sin. 7(3):131.,25,a13a46c7-2450-45bc-a5a8-7e2b198be258
3353,"Lin, Y.-r.; Tang, Y.-p.",1988,[Seven species of Lophodermium on pines],In: Acta Mycol. Sin. 7(3):132.,25,3aa1355a-00a9-473a-aa8c-7ab28a9a72a1
3354,G. De Notaris,1847,\N,In: G. bot. ital. 2(7-8):47.,25,dc142ec0-587e-4fe7-ada7-e45bb57d04bc
3355,P.R. Johnston,1988,An undescribed pattern of ascocarp development in some non-coniferous Lophodermium species,In: Mycotaxon 31(2):384.,25,60659f90-e705-4e2d-81a8-b0d43e162290
3356,K.W.G.L. Fuckel,1870,\N,In: Jb. nassau. Ver. Naturk. 23-24:255.,25,ee4dc377-8461-4c45-b040-0baf84bf07a1
3357,"Höhnel, F.X.R. von",1917,\N,"In: Sber. Akad. Wiss. Wien, Math.-naturw. Kl., Abt. 1 126(4-5):296.",25,5928227e-11ba-4fa8-ab85-de0ba63c5de1
3358,P.R. Johnston,1989,Rhytismataceae in New Zealand 2. The genus Lophodermium on indigenous plants,In: N.Z. Jl Bot. 27(2):253.,25,457e28e0-5b2f-4441-a031-588331d3b83a
3359,P.R. Johnston,1989,Rhytismataceae in New Zealand 2. The genus Lophodermium on indigenous plants,In: N.Z. Jl Bot. 27(2):251.,25,d7a7032d-eb3d-4b6e-b5f4-557e3957bef0
3360,P.R. Johnston,1989,Rhytismataceae in New Zealand 2. The genus Lophodermium on indigenous plants,In: N.Z. Jl Bot. 27(2):249.,25,1e38de5f-4aab-4e13-82d3-bd010a138ecd
3361,P.R. Johnston,1989,Lophodermium (Rhytismataceae) on Clusia,In: Sydowia 41:141.,25,571b61bd-465a-4a43-ae99-b01c18aaf1b7
3362,P.R. Johnston,1989,Rhytismataceae in New Zealand 2. The genus Lophodermium on indigenous plants,In: N.Z. Jl Bot. 27(2):258.,25,d0f73436-3e63-4f2e-ab97-b4c7327f18d2
3363,P.R. Johnston,1989,Rhytismataceae in New Zealand 2. The genus Lophodermium on indigenous plants,In: N.Z. Jl Bot. 27(2):257.,25,85d4a95d-a01e-4b60-b316-2d6a4f7a0356
3364,P.R. Johnston,1989,Rhytismataceae in New Zealand 2. The genus Lophodermium on indigenous plants,In: N.Z. Jl Bot. 27(2):256.,25,1f14c5d2-5969-46ff-8c74-2186eeb99aac
3365,P.R. Johnston,1989,Rhytismataceae in New Zealand 2. The genus Lophodermium on indigenous plants,In: N.Z. Jl Bot. 27(2):255.,25,23ac88e7-d0fa-462e-a7b1-cbd4bb2f7761
3366,H. Mayr,1890,\N,In: Die Waldungen von Nordamerika:313.,25,94650e30-e9d6-4c41-a49a-f96ee59381ae
3367,F.F. Chevallier,1826,\N,In: Fl. gén. env. Paris (Paris) 1:435.,25,063059ca-bc35-48e8-8007-d434b29fad70
3368,B.M. Spooner,1991,"Lophodermium and Hypoderma (Rhytismatales) from Mt. Kinabalu, Sabah",In: Kew Bull. 46(1):78.,25,6ab6bd38-89fe-45aa-8327-fadc090f023d
3369,B.M. Spooner,1991,"Lophodermium and Hypoderma (Rhytismatales) from Mt. Kinabalu, Sabah",In: Kew Bull. 46(1):83.,25,e226d3a3-5334-4f06-aad5-18be7b202cdc
3370,B.M. Spooner,1991,"Lophodermium and Hypoderma (Rhytismatales) from Mt. Kinabalu, Sabah",In: Kew Bull. 46(1):80.,25,116f1951-4289-41cf-b25c-7798fff3b601
3371,B.M. Spooner,1991,"Lophodermium and Hypoderma (Rhytismatales) from Mt. Kinabalu, Sabah",In: Kew Bull. 46(1):89.,25,7d5f9eae-c6bf-487d-84ef-dcf14c70c976
3372,B.M. Spooner,1991,"Lophodermium and Hypoderma (Rhytismatales) from Mt. Kinabalu, Sabah",In: Kew Bull. 46(1):85.,25,011ae5aa-0700-43c4-a1a2-1ff866601221
3373,B.M. Spooner,1991,"Lophodermium and Hypoderma (Rhytismatales) from Mt. Kinabalu, Sabah",In: Kew Bull. 46(1):92.,25,3eeae5c6-3deb-4667-b370-fd1f1626aef8
3374,P.R. Johnston,1989,Rhytismataceae in New Zealand 2. The genus Lophodermium on indigenous plants,In: N.Z. Jl Bot. 27(2):259.,25,096617ed-7f86-448e-9f22-4eda1b6f203d
3375,Rabenhorst,1882,\N,In: Hedwigia 21(1):7.,25,e9824b5c-5493-4eb9-808b-ba2d45f60435
3376,P.R. Johnston,1989,Rhytismataceae in New Zealand 2. The genus Lophodermium on indigenous plants,In: N.Z. Jl Bot. 27(2):261.,25,0d751902-92ff-4f1d-a394-2a24f06b3b2e
3377,P.R. Johnston,1989,Rhytismataceae in New Zealand 2. The genus Lophodermium on indigenous plants,In: N.Z. Jl Bot. 27(2):264.,25,ab0e03f9-2d85-461c-b90d-163ce7e0a445
